,Year,Month,Activity,Type,Fatal
473,1901,Oct,Taking catch from a fish weir in which the shark was snared,Unprovoked,0
474,1901,Sep,Swimming,Unprovoked,1
475,1901,Summer,Bathing,Unprovoked,0
476,1901,Unknown,Fishing?,Unprovoked,0
477,1902,Aug,Catching crabs,Unprovoked,1
478,1902,Aug,Fishing,Unprovoked,0
479,1902,Aug,Swimming,Unprovoked,1
480,1902,Dec,Swimming,Unprovoked,1
481,1902,Feb,Standing on ship deck,Provoked,0
482,1902,Jan,Dangling feet in the water,Unprovoked,1
483,1902,Jan,Swimming,Unprovoked,0
484,1902,Jul,Fishing,Provoked,0
485,1902,Jul,Swimming,Provoked,0
486,1902,Jun,Sponge diving,Unprovoked,0
487,1902,Nov,Fishing,Unprovoked,0
488,1902,Nov,Swimming,Unprovoked,1
489,1902,Unknown,Canoeing,Unprovoked,1
490,1903,,Fishing,Unprovoked,1
491,1903,Jun,Swimming,Unprovoked,1
492,1903,Mar,Suicide,Unprovoked,1
493,1903,Mar,Swimming,Unprovoked,1
494,1903,May,Bathing,Unprovoked,1
495,1903,Oct,Fell overboard,Unprovoked,1
496,1903,Sep,Fishing,Unprovoked,0
497,1903,Unknown,Diving,Unprovoked,1
498,1903,Unknown,Pearl diving,Unprovoked,1
499,1903,of,Sponge diving,Unprovoked,1
500,1904,Aug,"Ship's boat capsized in squall, captain & 2 sailors clinging onto hull",Unprovoked,1
501,1904,Feb,Swimming,Unprovoked,1
502,1904,Feb,Swimming after his hat,Unprovoked,1
503,1904,Jan,Bathing,Unprovoked,1
504,1904,Jul,Sailing,Unprovoked,0
505,1904,Jul,Swimming,Unprovoked,1
506,1904,Jul,Swimming,Unprovoked,1
507,1904,Nov,Bathing alongside US Naval ship,Unprovoked,0
508,1904,Oct,Fell overboard,Unprovoked,1
509,1904,Sep,Lost his footing & fell overboard,Unprovoked,1
510,1904,Unknown,Bathing,Unprovoked,0
511,1904,Unknown,Swimming,Unprovoked,1
512,1904,Unknown,Swimming,Unprovoked,1
513,1905,Apr,Swimming,Unprovoked,1
514,1905,Aug,Bathing,Unprovoked,0
515,1905,Aug,Swimming from naptha launch after a day of fishing,Unprovoked,0
516,1905,Dec,Floating or standing,Unprovoked,1
517,1905,Jul,Fishing,Unprovoked,1
518,1905,Jul,Jumped or fell overboard,Unprovoked,1
519,1905,Jul,Wading,Unprovoked,1
520,1905,Mar,Bathing,Unprovoked,0
521,1905,May,Swimming,Unprovoked,0
522,1905,Sep,Fishing,Provoked,0
523,1905,Sep,Swimming,Unprovoked,1
524,1905,Unknown,Bathing,Unprovoked,1
525,1905,Unknown,Carrying a supposedly dead shark by its mouth,Provoked,0
526,1905,Unknown,Harpooning turtles,Unprovoked,0
527,1905,Unknown,Swimming,Unprovoked,1
528,1906,Apr,Diving for beche-de-mer ,Unprovoked,1
529,1906,Apr,Hard hat diving,Unprovoked,1
530,1906,Apr,Shooting sharks ,Provoked,0
531,1906,April,The schooner Tahitienne foundered in a hurricane,Unprovoked,1
532,1906,Aug,Diving around anchored liner,Unprovoked,0
