attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
2010-12-01,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,N
2010-11-30,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,N
2010-11-30,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,N
2010-10-09,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,N
2010-11-27,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,Unknown
2010-11-15,DOMINICAN REPUBLIC,Unknown,Boca Chica,Diving,M,Y
2010-11-14,INDONESIA,Bali,Balian,Surfing,M,N
2010-11-12,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,N
2010-10-30,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,N
2010-10-28,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,N
2010-10-28,USA,Oregon,Florence,Surfing,M,N
2010-10-25,AZORES,Unknown,350 miles from Faial Island,Fishing,M,N
2010-10-23,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,N
2010-10-23,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,N
2010-10-22,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,Y
2010-11-19,USA,Palmyra Atoll,Unknown,Snorkeling,M,N
2010-07-25,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,N
2010-08-02,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,N
2010-07-19,USA,South Carolina,Myrtle Beach,Swimming,M,N
2010-03-27,REUNION,Saint-Benoit,Bittern,Surfing,M,N
2010-02-19,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,N
2010-02-16,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,N
2010-02-15,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,Y
2010-02-13,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,N
2010-02-11,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,N
2010-02-06,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,N
2010-02-06,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,M,N
2010-02-06,USA,Florida,Riviera Beach,Surf fishing / wading,M,N
2010-02-04,GUAM,Merizo,Achang Reef,Spearfishing (free diving),M,Unknown
2010-02-03,USA,Florida,"Stuart, Martin County",Kite Boarding,M,Y
2010-02-01,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,N
2010-01-27,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,N
2010-01-22,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,N
2010-01-22,AUSTRALIA,Victoria,Geelong,Surfing,M,N
2010-01-12,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,Y
2010-01-09,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,N
2010-01-09,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,F,N
2010-01-09,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,M,N
2010-01-09,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,M,N
2010-01-06,USA,Florida,Elliot Key,Spearfishing,M,N
2010-07-23,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,N
2010-01-05,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,N
2010-04-04,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,N
2010-04-13,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,N
2010-01-30,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,N
2010-04-28,USA,Florida,Hanalei Bay,Measuring sharks,M,N
2010-07-17,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,N
2010-04-19,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,N
2010-07-17,USA,Florida,New Smyrna Beach,Surfing,M,N
2010-07-16,SPAIN,Grand Canary Island,"Sardina del Norte, G�ldar",Swimming,M,N
2010-07-16,USA,Texas,Galveston,Fishing,M,N
2010-07-11,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,N
2010-07-03,USA,New York,Off Long Island,Fishing,M,N
2010-07-02,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,N
2010-07-02,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,N
2010-06-27,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,N
2010-06-25,USA,South Carolina,Fripp Island,Boogie Boarding,F,N
2010-07-04,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,N
2010-05-18,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,N
2010-05-03,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,N
2010-06-25,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,N
2010-05-18,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,N
2010-05-18,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,F,N
2010-05-30,USA,Florida,Off Tarpon Springs,Fishing,M,N
2010-05-01,USA,Florida,New Smyrna Beach,Wading,F,N
2010-06-01,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,N
2010-06-06,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,N
2010-06-10,USA,Florida,Jacksonville,Boogie Boarding,F,N
2010-06-15,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,N
2011-09-11,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",Kite Surfing,M,N
2011-09-02,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-09-04,AUSTRALIA,Western Australia, Bunker Bay,Body boarding,M,Y
2011-09-04,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,Unknown,N
2011-08-31,USA,Florida,Crescent Beach St. Johns County,Surfing,M,N
2011-09-24,USA,Florida,"Santa Maria Island, Manatee County",Spearfishing,M,N
2011-09-19,REUNION,Saint-Gilles,Boucan-Canot,Body boarding,M,Y
2011-09-16,USA,Florida,New Smyrna Beach,Surfing,M,N
2011-09-17,KENYA,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,M,Y
2011-09-20,USA,Hawaii,Kauai,Canoeing,M,N
2011-09-24,USA,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,M,N
2011-08-28,AUSTRALIA,Queensland,Fantome Island,Swimming,M,Unknown
2011-09-11,USA,California,"Samoa Beach, Humboldt County",Surfing,M,N
2011-08-28,USA,Texas,"Grass Island, Aransas County",Wade Fishing,F,N
2011-08-16,USA,Puerto Rico, Vieques,Floating ,M,N
2011-08-01,SEYCHELLES,Praslin,Anse Lazio ,Diving,M,Y
2011-08-24,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,N
2011-08-24,USA,North Carolina,Holden Beach. Brunswick County,Unknown,M,N
2011-08-23,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,Y
2011-08-18,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,N
2011-08-17,USA,North Carolina,"Kure Beach, New Hanover County",Wading,F,N
2011-08-17,USA,North Carolina,"Wrightsville Beach, New Hanover County",Unknown,M,Unknown
2011-08-17,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Swimming,M,N
2011-08-16,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,M,N
2011-08-16,SEYCHELLES,Praslin,Anse Lazio ,Swimming or Snorkeling,M,Y
2011-08-15,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the surf,M,N
2011-08-11,USA,North Carolina,Beaufort Inlet,Swimming,M,N
2011-09-28,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,M,N
2011-08-26,RUSSIA,Primorsky Krai,Slavyanka,"Standing, collecting sea stars",M,N
2011-09-28,DOMINICAN REPUBLIC,Saman� Province,Playa Jackson ,Fishing,M,N
2011-12-11,AUSTRALIA,New South Wales,Angourie,Surfing,M,N
2011-10-01,USA,Alabama,"Gulf Shores, Baldwin County",Unknown,M,N
2011-07-31,BRAZIL,Pernambuco,Praia do Pina,Swimming,M,Unknown
2011-12-31,USA,Florida,"Jupiter, Palm Beach County",Unknown,M,N
2011-12-26,ANTIGUA,St John's,Fort James Beach,Swimming,M,Unknown
2011-12-25,ECUADOR,Santa Elena,Barand�a Beach,Surfing,M,N
2011-12-23,USA,Florida,New Smyrna Beach,Surfing,M,N
2011-12-21,USA,Hawaii,"Makahuena Point, Kauai",Canoeing,M,N
2011-12-21,SOUTH AFRICA,Eastern Cape Province,"Noordhoek, Port Elizabeth",Kayak Fishing,M,N
2011-12-07,SOUTH AFRICA,KwaZulu-Natal,Between Sodwana & Cape Vidal,Surf skiing ,M,Unknown
2011-12-07,AUSTRALIA,New South Wales,Maroubra,Surfing,M,N
2011-12-06,USA,Oregon,Seaside Cove,Surfing,F,N
2011-12-05,AUSTRALIA,Queensland,Bushy Ilet,Spearfishing,Unknown,Unknown
2011-12-02,AUSTRALIA,New South Wales,Broken Head,Surfing,M,N
2011-11-29,INDONESIA,Bali,Tabanan,Surfing,M,N
2011-11-28,AUSTRALIA,Queensland,Peregian,Swimming,M,N
2011-11-22,USA,California,Pigeon Point,Kayaking,M,N
2011-11-20,PAPUA NEW GUINEA,East New Britain,Pigeon Island,Scuba diving,M,N
2011-11-12,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,N
2011-11-11,REUNION,Bois-Blanc ,Sainte-Rose,Free diving / spearfishing,M,N
2011-10-29,USA,California,"Marina State Beach, Monterey County",Surfing,M,N
2011-10-28,SCOTLAND,Moray,Spey Bay,Surfing,M,N
2011-10-28,SOUTH AFRICA,KwaZulu-Natal,"uShaka Aquarium, Durban",Diving,Unknown,N
2011-10-22,AUSTRALIA,Western Australia,Rottnest Island,Diving,M,Y
2011-10-20,USA,Oregon,"Newport, Lincoln County",Surfing,M,N
2011-10-19,AUSTRALIA,Victoria,Elwood Beach,Diving,M,N
2011-10-11,USA,Florida,Cape Canaveral,Surfing,M,N
2011-10-10,USA,Oregon,Seaside,Surfing,M,N
2011-10-09,AUSTRALIA,Western Australia,Cottesloe Beach,Swimming,M,Y
2011-10-05,REUNION,Unknown,Cap La Houssaye,Canoeing,M,N
2011-10-02,USA,Florida,"Santa Maria Island, Manatee County",Wade fishing,M,N
2011-09-30,USA,Puerto Rico,Hatillo Beach,Surfing,M,Unknown
2011-07-30,PHILIPPINES,Unknown,Unknown,Sea disaster,M,N
2011-02-23,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouv�a",Spearfishing,M,N
2011-07-22,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,N
2011-05-04,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,M,N
2011-04-26,USA,Florida,"Riviera Beach, Palm Beach County",Spearfishing,M,N
2011-04-23,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,M,N
2011-04-22,USA,Florida,"New Smyrna Beach, Volusia County",Surfing ,M,N
2011-04-16,NEW ZEALAND,South Island,Snapper Point,Surfing,M,N
2011-04-12,INDONESIA,Bali,Balian,Surfing,M,N
2011-04-08,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,N
2011-03-29,USA,Texas,Matagorda Beach,"Standing, holding shark pup",M,N
2011-03-24,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,N
2011-03-23,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,N
2011-03-21,MEXICO,Quintana Roo,Unknown,Swimming,M,N
2011-03-21,FIJI,Unknown,Nukudamu ,Diving / fishing,M,N
2011-03-16,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,N
2011-03-10,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,Unknown,F,Unknown
2011-03-10,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,N
2011-02-28,AUSTRALIA,Queensland,Between ,Fishing,M,N
2011-02-19,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,N
2011-02-17,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,Y
2011-02-13,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,N
2011-02-12,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,N
2011-02-04,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,M,N
2011-02-02,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,N
2011-01-31,MEXICO,Quintana Roo,Cancun,Swimming,F,N
2011-01-28,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agust�n-VI. ,M,N
2011-01-26,BAHAMAS,West End,Tiger Beach,Scuba diving,M,N
2011-01-20,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,Unknown
2011-07-25,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,M,N
2011-01-12,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,M,N
2011-01-03,AUSTRALIA,Western Australia,Busselton,Fishing,Unknown,N
2011-05-07,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Khor Fakkan ,Fishing ,M,Unknown
2011-05-10,USA,Florida,Miami,Fishing ,M,N
2011-01-15,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,Y
2011-05-21,NEW CALEDONIA,North Province,Kendec,Kite Boarding,M,Y
2011-05-13,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,N
2011-07-15,REUNION,Saint-Gilles,Brisants. ,Kayaking or Wave skiing,M,N
2011-07-13,USA,Texas,"South Padre Island, Cameron County",Surf fishing,M,N
2011-07-13,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,M,N
2011-07-07,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,N
2011-07-07,USA,Texas,"Mustang Island, Nueces County",Wade Fishing,M,N
2011-07-06,REUNION,Saint-Gilles,Roches Noires,Surfing,M,N
2011-07-05,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,M,N
2011-06-30,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,M,N
2011-06-29,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,N
2011-06-28,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Scuba diving,M,N
2011-06-26,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,N
2011-06-24,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,N
2011-06-21,USA,Florida,"Perdido Key, Escambia County",Jet skiing,M,N
2011-07-19,USA,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,F,N
2011-06-19,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,Y
2011-06-19,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,M,N
2011-05-21,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Spearfishing,M,Y
2011-05-22,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,N
2011-05-25,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,N
2011-05-29,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,N
2011-05-30,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,F,N
2011-05-13,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,N
2011-06-06,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,N
2011-06-06,USA,California,"La Jolla, San Diego County",Spearfishing,M,N
2011-06-06,COLUMBIA,San Andr�s archipelago,Albuquerque Cay,Spearfishing,M,N
2011-06-12,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,M,N
2011-06-14,UNITED KINGDOM,Cornwall,St. Ives,Fishing,Unknown,N
2011-06-15,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,M,Y
2011-06-01,MALAYSIA,Kedah,Palau Payar,Snorkeling,F,N
2012-08-11,AUSTRALIA,Western Australia,Ocean Reef,Fishing,Unknown,N
2012-08-15,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,N
2012-08-26,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,Y
2012-08-28,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,N
2012-09-02,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,Unknown,N
2012-09-02,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,N
2012-09-02,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,N
2012-09-04,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,N
2012-09-06,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,N
2012-08-09,USA,Florida,Key Largo,Free diving ,M,N
2012-08-31,SCOTLAND,Inner Hebrides,Off the Isle of Islay,Shark fishing,M,N
2012-09-06,USA,Florida,"Neptune Beach, Duval County",Surfing,M,N
2012-07-30,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,N
2012-08-04,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,M,N
2012-07-31,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,N
2012-07-07,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,F,Unknown
2012-07-31,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,N
2012-07-30,USA,Hawaii,"Maha�ulepu Beach, Kauai",Surfing,M,N
2012-07-24,USA,North Carolina,"Ocean Isle, Brunswick County",Unknown,M,Unknown
2012-07-23,REUNION,Trois-Bassins,Unknown,Surfing,M,Y
2012-07-21,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,Unknown
2012-07-19,CANADA,British Colombia,"Tofino, Vancouver",Surfing,F,Unknown
2012-07-14,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,Y
2012-07-08,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,N
2012-07-07,BAHAMAS,Eleuthera,Unknown,Spearfishing,M,N
2012-09-08,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,N
2012-08-05,REUNION,Saint Leu,Unknown,Surfing,M,N
2012-09-08,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,N
2012-10-30,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,N
2012-09-10,TONGA,Vava'u,Eueiki Island,Swimming,F,N
2012-12-31,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,N
2012-12-30,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,M,N
2012-12-28,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,M,N
2012-12-25,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,Y
2012-12-19,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,N
2012-12-05,USA,Hawaii,Kauai,Surfing,M,N
2012-12-02,AUSTRALIA,New South Wales,Green Island,Spearfishing,M,N
2012-12-01,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,F,N
2012-11-30,USA,Hawaii,"Kihei, Maui",Snorkeling,M,N
2012-11-27,AUSTRALIA,Queensland,Mooloolaba,Unknown,M,Unknown
2012-11-22,MEXICO,Sinaloa,Nuevo Altata,Swimming,M,Y
2012-11-19,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,N
2012-09-09,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unknown,N
2012-11-04,USA,Hawaii,"Makena Landing, Maui",Diving,M,N
2012-10-27,USA,Hawaii,"Makena Landing, Maui",Swimming,F,N
2012-10-23,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,Y
2012-10-19,USA,Florida,"Seaport, Brevard County",Unknown,F,N
2012-10-18,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,N
2012-10-18,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,M,N
2012-10-16,USA,Florida,Hobe Sound,Unknown,M,Unknown
2012-10-11,NIGERIA,Delta,Oboro,Bathing,F,N
2012-10-07,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,N
2012-10-02,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,M,N
2012-09-25,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,N
2012-09-24,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,N
2012-09-16,USA,Florida," Cocoa Beach, Brevard  County",Surfing,M,N
2012-11-04,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,N
2012-07-07,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,M,N
2012-06-14,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,N
2012-06-28,CROATIA,Unknown,Buccari Bay,Swimming,Unknown,Unknown
2012-03-31,AUSTRALIA,Western Australia,Stratham Beach,Scuba diving,M,Y
2012-03-24,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-03-22,AUSTRALIA,Western Australia,Kalbarri,Crayfishing,Unknown,N
2012-03-20,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,N
2012-03-15,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,N
2012-03-14,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N
2012-03-14,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-03-06,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,M,N
2012-03-06,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,N
2012-03-05,REUNION,Saint-Benoit,Port de la�Marine,Body boarding,M,N
2012-03-04,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,N
2012-03-03,SAUDI ARABIA,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,M,Unknown
2012-04-01,USA,Florida,"Sanibel Island, Lee County",Unknown,M,N
2012-02-26,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,N
2012-02-20,SOUTH AFRICA,Western Cape Province,Strandfontein,Fishing,Unknown,N
2012-02-06,AUSTRALIA,Queensland,Wurtulla,Surfing,M,N
2012-01-27,USA,Hawaii,Lanai,Snorkeling,Unknown,N
2012-01-19,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,N
2012-01-22,BAHAMAS,Unknown,Cat Island,"Diving, photographing sharks",M,N
2012-01-18,TAIWAN,Taitung ,Taimali,Fishing,M,N
2012-01-18,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,N
2012-01-15,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,Y
2012-01-13,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,N
2012-01-03,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,N
2012-01-02,AUSTRALIA,Queensland,Duranbah,Spearfishing,M,N
2012-07-06,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,N
2012-02-25,AUSTRALIA,New South Wales,Broughton Island,Fishing,M,N
2012-04-03,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,N
2012-03-01,CHILE,Antofagasta Province,Antofagasta,Fishing (illegally),M,N
2012-04-19,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Body boarding,M,Y
2012-04-11,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,N
2012-06-26,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,N
2012-06-26,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-06-26,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,N
2012-06-22,AUSTRALIA,Tasmania,South Cape Bay,Surfing,M,N
2012-06-22,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,N
2012-06-20,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,N
2012-06-19,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,Unknown
2012-06-15,USA,Florida,"Summerland Key, Monroe County",Fishing,M,N
2012-06-14,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,N
2012-06-14,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,N
2012-06-14,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,N
2012-06-12,AUSTRALIA,Victoria,Port Campbell,Surfing,M,N
2012-06-18,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,F,N
2012-05-06,USA,California,Off Catalina Island,Paddle boarding,F,N
2012-04-19,USA,Florida,"Indialantic, Brevard County",Surfing,M,N
2012-06-10,ITALY,Sardinia,Muravera,Attempting to rescue an injured & beached shark,M,Unknown
2012-05-09,USA,Florida,"Vero Beach, Indian River County",Swimming,F,N
2012-05-12,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,N
2012-05-16,FIJI,Unknown,Matacucu Reef ,Spearfishing,M,N
2012-05-23,USA,Florida,"Jacksonville, Duval County",Surfing,M,N
2012-05-20,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,N
2012-05-31,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,N
2012-06-02,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,N
2012-06-02,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,N
2012-06-03,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,N
2012-05-29,MEXICO,Guerrero," Boca de la Le�a, La Uni�n",Free diving / spearfishing,M,N
2013-09-01,USA,Florida,Key West Aquarium,Unknown,M,N
2013-08-31,BAHAMAS,Unknown,Freetown Beach,Spearfishing,M,N
2013-09-01,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,M,N
2013-09-01,BAHAMAS,Unknown,Unknown,Unknown,M,N
2013-09-02,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,N
2013-09-21,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,N
2013-09-07,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,N
2013-09-08,USA,South Carolina,"St. Helena Island, Beaufort County",Unknown,F,Unknown
2013-09-12,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,N
2013-09-14,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,N
2013-08-31,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,N
2013-09-07,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,N
2013-08-29,USA,California,Catalina Channel,Marathon swimming,F,Unknown
2013-07-29,USA,Hawaii,"White Plains Beach, Oahu",Surfing,M,N
2013-08-25,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,N
2013-08-25,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,M,N
2013-08-18,USA,Hawaii,Pohoiki ,Surfing,M,N
2013-08-17,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,N
2013-08-14,USA,Hawaii,"Makenat, Maui",Snorkeling,F,Y
