attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1961-02-17,AUSTRALIA,Victoria,Mount Martha Beach,Standing,F,N
1961-03-30,AUSTRALIA,South Australia,Glenelg Breakwater,Spearfishing,M,N
1961-03-18,AUSTRALIA,Victoria,Lady Beach at Warrnambool,Swimming,M,N
1961-03-01,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",Floating on back,M,N
1961-03-14,AUSTRALIA,Western Australia,Shark Bay,Fishing from dinghy,F,N
1961-03-12,AUSTRALIA,South Australia,Aldinga Beach,Spearfishing,M,N
1961-03-09,NORTH PACIFIC OCEAN,Wake Island (EnenKio),"Leeward side of island, directly in back of Mid-Pac barrel storage area",Free diving,M,N
1961-03-07,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Fishing,M,N
1961-04-01,AUSTRALIA,Western Australia,Rottnest Island,Spearfishing,M,N
1962-07-28,USA,South Carolina,"Off Hilton Head, Beaufort County ",Standing,M,N
1962-08-01,SENEGAL,Cap Vert Peninsula,Unknown,Beach seine netting,M,N
1962-08-01,ITALY,Tyrrhenian Sea,"Circeo, Secca del Faro",Diving,M,N
1962-08-23,SOUTH AFRICA,Western Cape Province,Robbesteen,Fishing,Unknown,N
1962-08-12,USA,New Jersey,"Manasquan, Ocean County",Standing,M,N
1962-08-19,USA,Texas,"Off Andy Bowie Park, Padre Island, near Port Isabel",Surf fishing in waist-deep water,M,Y
1962-07-20,MADAGASCAR,Unknown,"Onboard tuna boat, M.V. Toscui Maru",Finning the shark,M,N
1962-08-01,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",Spearfishing,M,Y
1962-07-19,USA,California,30 miles south of San Clemente Island,Fishing for albacore,M,N
1962-06-25,USA,Florida,"Fernandina Beach, Nassau County",U.S. Airforce crewman reported missing after bailing out of jet,M,Unknown
1962-07-07,USA,Georgia,"Jekyll Island, Glynn County",Dived from inner-tube,M,N
1962-07-03,GREECE,Cyclades,Near Mykonos Island,Unknown,Unknown,Unknown
1962-08-26,USA,Florida,6 miles north of Palm Beach,Unknown,Unknown,N
1962-06-21,SOUTH AFRICA,Western Cape Province,"Millers Point, False Bay","On a ""shark hunt""",Unknown,N
1962-06-17,USA,Florida,"New Smyrna Beach, Volusia County",Rolled off raft,M,N
1962-06-11,USA,California,San Francisco Bay,Escaping from Alacatraz,M,N
1962-06-11,USA,California,San Francisco Bay,Escaping from Alacatraz,M,Y
1962-06-11,USA,California,San Francisco Bay,Escaping from Alacatraz,M,Y
1962-07-10,USA,Georgia,"St. Simons Island or Jeykll Island, Glynn County",Playing in surf with his child  (9),M,N
1962-08-29,USA,California,"Solana Beach, San Diego County",Diving for abalone,M,N
