,Year,Month,Activity,Type,Fatal
142,2017,Apr,Surfing,Unprovoked,0
143,2017,Apr,Paddle boarding,Unprovoked,0
144,2017,Apr,Swimming,Unprovoked,0
145,2017,Apr,Swimming,Unprovoked,0
146,2017,Apr,Swimming,Unprovoked,0
147,2017,Apr,Kakaying,Unprovoked,0
148,2017,Apr,Swimming,Unprovoked,0
149,2017,Mar,Surfing,Unprovoked,0
150,2017,Mar,Body boarding,Unprovoked,0
151,2017,Mar,Kayaking,Unprovoked,0
152,2017,Mar,Spearfishing,Unprovoked,0
153,2017,Mar,Washing hands,Unprovoked,0
154,2017,Feb,Snorkeling,Unprovoked,0
155,2017,Feb,Surfing,Unprovoked,0
156,2017,Feb,Body boarding,Unprovoked,1
157,2017,Feb,Spearfishing,Unprovoked,0
158,2017,Feb,Swimming,Unprovoked,0
159,2017,Feb,Grabbing shark for a selfie,Provoked,0
160,2017,Feb,Kayak fishing,Unprovoked,0
161,2017,Feb,Tagging sharks,Unprovoked,0
162,2017,Feb,Scuba Diving,Unprovoked,0
163,2017,Jan,Swimming,Unprovoked,0
164,2017,Jan,Scuba Diving,Unprovoked,0
165,2017,Jan,Swimming,Unprovoked,0
166,2017,Jan,Surfing,Unprovoked,0
167,2017,Jan,Wading,Unprovoked,0
168,2016,Dec,Surfing,Unprovoked,0
169,2016,Dec,Snorkeling,Unprovoked,0
170,2016,Dec,Surf skiing ,Unprovoked,0
171,2016,Dec,Free diving,Unprovoked,0
172,2016,Dec,Fishing,Unprovoked,0
173,2016,Dec,Surf fishing,Provoked,0
174,2016,Dec,Surfing,Unprovoked,0
175,2016,Nov,Fishing,Provoked,0
176,2016,Nov,Floating,Unprovoked,0
177,2016,Oct,Surfing,Unprovoked,0
178,2016,Oct,Surfing,Unprovoked,0
179,2016,Oct,Surfing,Unprovoked,0
180,2016,Oct,Surfing,Unprovoked,0
181,2016,Oct,Surfing,Unprovoked,0
182,2016,Oct,Snorkeling,Unprovoked,0
183,2016,Oct,Surfing,Unprovoked,0
184,2016,Oct,Surfing,Unprovoked,0
185,2016,Oct,Surfing,Unprovoked,0
186,2016,Oct,Surfng,Unprovoked,0
187,2016,Sep,Surfing,Unprovoked,0
188,2016,Sep,Surfing,Unprovoked,0
189,2016,Sep,Surfing,Unprovoked,0
190,2016,Sep,Surfing,Unprovoked,0
191,2016,Sep,Surfing,Unprovoked,0
192,2016,Sep,Surfing,Unprovoked,0
193,2016,Sep,Surfing,Unprovoked,0
194,2016,Sep,Fishing,Unprovoked,0
195,2016,Sep,Wading,Unprovoked,0
196,2016,Sep,Swimming,Unprovoked,0
197,2016,Sep,Kite surfing,Unprovoked,1
198,2016,Sep,Boogie boarding,Unprovoked,0
199,2016,Sep,Surfing,Unprovoked,0
200,2016,Sep,Body boarding,Unprovoked,0
201,2016,Sep,Spearfishing,Unprovoked,0
202,2016,Aug,Surfing,Unprovoked,0
203,2016,Aug,Surfing,Unprovoked,0
204,2016,Aug,Surfing,Unprovoked,0
205,2016,Aug,Wading,Unprovoked,0
206,2016,Aug,Snorkeling,Unprovoked,0
207,2016,Aug,SUP Foil boarding,Unprovoked,0
208,2016,Aug,Surfing,Unprovoked,0
209,2016,Jul,Swimming,Unprovoked,0
210,2016,Jul,Swimming,Unprovoked,0
211,2016,Jul,Kayaking,Unprovoked,0
212,2016,Jul,Lobstering,Provoked,0
213,2016,Jul,Surfing,Unprovoked,0
214,2016,Jul,Surfing,Unprovoked,0
215,2016,Jul,Surfing,Unprovoked,0
216,2016,Jul,Spearfishing,Unprovoked,0
217,2016,Jul,Fishing,Provoked,0
218,2016,Jul,Fishing in Alabama Deep Fishing Rodeo,Unprovoked,0
219,2016,Jul,Surfing,Unprovoked,0
220,2016,Jul,Kite surfing,Unprovoked,0
221,2016,Jul,Swimming,Unprovoked,0
222,2016,Jul,Scuba Diving,Unprovoked,0
223,2016,Jul,Wading,Unprovoked,0
224,2016,Jul,Fishing for squid,Unprovoked,0
225,2016,Jul,Fishing,Provoked,0
226,2016,Jul,Fishing for sharks,Unprovoked,0
227,2016,Jul,Swimming,Unprovoked,0
228,2016,Jul,Fishing,Provoked,0
229,2016,Jun,Surfing,Unprovoked,0
230,2016,Jun,Scuba Diving,Unprovoked,0
231,2016,Jun,Spearfishing,Unprovoked,0
232,2016,Jun,Floating,Unprovoked,0
233,2016,Jun,Wading,Unprovoked,0
234,2016,Jun,Surfing,Unprovoked,0
235,2016,Jun,Spearfishing,Provoked,0
236,2016,Jun,Floating in tube,Unprovoked,0
237,2016,Jun,Standing,Unprovoked,0
238,2016,Jun,Swimming,Unprovoked,0
239,2016,Jun,Diving,Unprovoked,1
240,2016,Jun,Swimming,Unprovoked,0
241,2016,Jun,Kite surfing,Unprovoked,0
242,2016,May,Surfing,Unprovoked,1
243,2016,May,Swimming,Unprovoked,0
244,2016,May,Swimming,Unprovoked,0
245,2016,May,Swimming,Unprovoked,0
246,2016,May,Swimming,Unprovoked,0
247,2016,May,Swimming,Unprovoked,0
248,2016,May,Swimming,Unprovoked,0
249,2016,May,Teasing a shark,Provoked,0
250,2016,May,Floating,Unprovoked,0
251,2016,May,Fishing,Provoked,0
252,2016,Apr,Surfing,Unprovoked,0
253,2016,Apr,Surfing,Unprovoked,0
254,2016,Apr,Surf-skiing,Unprovoked,0
255,2016,Apr,Swimming,Unprovoked,0
256,2016,Apr,Spearfishing,Provoked,0
257,2016,Apr,Spearfishing,Provoked,0
258,2016,Apr,Spearfishing,Unprovoked,0
259,2016,Apr,Walking,Unprovoked,1
260,2016,Apr,Fishing,Unprovoked,0
261,2016,Mar,Snorkeling,Unprovoked,0
262,2016,Mar,Surfing,Unprovoked,0
263,2016,Mar,Surfing,Unprovoked,0
264,2016,Mar,Body surfing,Unprovoked,0
265,2016,Mar,Diving for beche-de-mer,Unprovoked,1
266,2016,Mar,Fishing,Unprovoked,0
267,2016,Mar,Swimming,Unprovoked,0
268,2016,Feb,Kite surfing,Unprovoked,0
269,2016,Feb,Spearfishing,Unprovoked,0
270,2016,Feb,Wading,Unprovoked,0
271,2016,Feb,Walking,Unprovoked,0
272,2016,Feb,Windsurfing,Unprovoked,0
273,2016,Feb,Swimming,Unprovoked,0
274,2016,Jan,Kayak fishing,Unprovoked,0
275,2016,Jan,Surfing,Unprovoked,0
276,2016,Jan,Surfing,Unprovoked,0
277,2016,Jan,Spearfishing,Unprovoked,0
278,2016,Jan,Fishing,Unprovoked,0
279,2016,Jan,Paddle boarding,Unprovoked,0
280,2016,Jan,Surfing,Unprovoked,0
281,2016,Jan,Wading,Unprovoked,0
282,2016,Jan,Spearfishing,Unprovoked,0
283,2015,Dec,Kayak Fishing,Unprovoked,0
284,2015,Dec,Swimming,Unprovoked,0
285,2015,Dec,Paddle boarding,Unprovoked,0
286,2015,Dec,Surfing,Unprovoked,0
287,2015,Dec,Scuba diving,Unprovoked,0
288,2015,Dec,Sea disaster,Unprovoked,1
289,2015,Dec,Fishing,Unprovoked,0
290,2015,Dec,Lobster fishing,Unprovoked,0
291,2015,Dec,Swimming / Wading,Unprovoked,0
292,2015,Nov,Snorkeling,Unprovoked,0
293,2015,Nov,Surfing,Unprovoked,0
294,2015,Nov,Swimming,Unprovoked,0
295,2015,Nov,Surfing,Unprovoked,0
296,2015,Nov,Surfing,Unprovoked,0
297,2015,Nov,Swimming,Unprovoked,0
298,2015,Nov,Wading,Unprovoked,0
299,2015,Nov,Fishing,Unprovoked,0
300,2015,Oct,Spearfishing,Unprovoked,0
301,2015,Oct,Body boarding,Unprovoked,0
302,2015,Oct,Surfing,Unprovoked,0
303,2015,Oct,Surfing,Unprovoked,0
304,2015,Oct,Surfing,Unprovoked,0
305,2015,Oct,Fishing for shrimp,Unprovoked,1
306,2015,Oct,Swimming,Unprovoked,0
307,2015,Oct,Kayak Fishing,Unprovoked,0
308,2015,Oct,Boogie boarding,Unprovoked,0
309,2015,Oct,Surfing,Unprovoked,0
310,2015,Oct,Fishing,Unprovoked,0
311,2015,Oct,Surfing,Unprovoked,0
312,2015,Oct,Body boarding,Unprovoked,0
313,2015,Oct,Wading,Unprovoked,0
314,2015,Oct,Surfing,Unprovoked,0
315,2015,Sep,Surfing,Unprovoked,0
316,2015,Sep,Snorkeling,Unprovoked,0
317,2015,Sep,Kayak fishing,Unprovoked,0
318,2015,Sep,Surfing,Unprovoked,0
319,2015,Sep,Spearfishing,Unprovoked,0
320,2015,Sep,Wading,Unprovoked,0
321,2015,Sep,Photographing fish,Unprovoked,0
322,2015,Sep,Kayak Fishing,Unprovoked,0
323,2015,Sep,Swimming,Unprovoked,0
324,2015,Sep,Surfing,Unprovoked,0
325,2015,Sep,Surfing,Unprovoked,0
326,2015,Sep,Stand-Up Paddleboarding,Unprovoked,0
327,2015,Sep,Kayak Fishing,Provoked,0
328,2015,Sep,Surf-skiing,Unprovoked,0
329,2015,Sep,Wading,Unprovoked,0
330,2015,Sep,Spearfishing,Unprovoked,0
331,2015,Aug,Surfing,Unprovoked,0
332,2015,Aug,Surfing,Unprovoked,0
333,2015,Aug,Surfing,Unprovoked,0
334,2015,Aug,Surfing,Unprovoked,0
335,2015,Aug,Walking,Unprovoked,0
336,2015,Aug,Kayak Fishing,Unprovoked,0
337,2015,Aug,Spearfishing,Provoked,0
338,2015,Jul,Surfing,Unprovoked,0
339,2015,Jul,Surfing,Unprovoked,0
340,2015,Jul,Surfing,Unprovoked,0
341,2015,Jul,Scallop diving on hookah,Unprovoked,1
342,2015,Jul,Kayak Fishing,Provoked,0
343,2015,Jul,Surfing,Unprovoked,0
344,2015,Jul,Surfing,Unprovoked,0
345,2015,Jul,Surfing,Unprovoked,0
346,2015,Jul,Surfing,Unprovoked,0
347,2015,Jul,Spearfishing,Unprovoked,0
348,2015,Jul,Surfing,Unprovoked,0
349,2015,Jul,Body boarding ,Unprovoked,0
350,2015,Jul,Swimming,Unprovoked,0
351,2015,Jun,Surfing,Unprovoked,0
352,2015,Jun,Playing in the water,Unprovoked,0
353,2015,Jun,Swimming,Unprovoked,0
354,2015,Jun,Body Boarding,Unprovoked,0
355,2015,Jun,Surfing,Unprovoked,0
356,2015,Jun,Standing,Unprovoked,0
357,2015,Jun,Swimming,Provoked,0
358,2015,Jun,Body surfing?,Unprovoked,0
359,2015,Jun,Swimming,Unprovoked,0
360,2015,Jun,Surfing,Invalid,0
361,2015,Jun,Standing,Unprovoked,0
362,2015,Jun,Spearfishing,Unprovoked,0
363,2015,Jun,Swimming,Unprovoked,0
364,2015,Jun,Wading,Unprovoked,0
365,2015,Jun,Wading,Unprovoked,0
366,2015,Jun,Boogie boarding,Unprovoked,0
367,2015,Jun,Playing,Unprovoked,0
368,2015,Jun,Attempting to rescue a shark,Unprovoked,0
369,2015,Jun,Surfing,Unprovoked,0
370,2015,May,Standing,Unprovoked,0
371,2015,May,Wading,Unprovoked,0
372,2015,May,Spearfishing,Unprovoked,0
373,2015,May,Swimming,Unprovoked,0
374,May2,20,Surfing,Unprovoked,0
375,2015,May,Snorkeling,Unprovoked,1
376,2015,May,Swimming,Unprovoked,0
